,Analytics Desc,English,Hiragana,Kanji,Vocab Set,Example
,,"grandmother, female senior-citizen",おばあさん,,N5,
,,Man,おとこ,男,N5,
,,apartment,アパート,,N5,
,,important,たいせつ,大切,N5,
,,"to teach, to tell",おしえる,教える,N5,
,,to begin,はじまる,始まる,N5,
,,White,しろ,白,N5,
,,Nine,きゅう / く,九,N5,
,,Below,した,下,N5,
,,painful,いたい,痛い,N5,
,,room,へや,部屋,N5,
,,Wednesday,すいようび,水曜日,N5,
,,autumn,あき,秋,N5,
,,"kind, deep, thick",あつい,厚い,N5,
,,Few,すこし,少し,N5,
,,et cetera,など,,N5,
,,vegetable,やさい,野菜,N5,
,,what,なん/なに,何,N5,
,,well…,さあ,,N5,
,,"often, well",よく,,N5,
,,a vase,かびん,花瓶,N5,
,,to stick,はる,貼る,N5,
,,with that...,では,,N5,
,,Bath,おふろ,お風呂,N5,
,,to get tired,つかれる,疲れる,N5,
,,bad,わるい,悪い,N5,
,,paper,かみ,紙,N5,
,,Interesting,おもしろい,,N5,
,,black tea,こうちゃ,紅茶,N5,
,,a cold,かぜ,風邪,N5,
,,glasses,めがね,眼鏡,N5,
,,that place,そこ,,N5,
,,Likeable,すき,好き,N5,
,,Boy,おとこのこ,男の子,N5,
,,"busy, irritated",いそがしい,忙しい,N5,
,,to sell,うる,売る,N5,
,,to need,いる,要る,N5,
,,pork,ぶたにく,豚肉,N5,
,,to copy,コピーする,,N5,
,,to walk,あるく,歩く,N5,
,,green tea,おちゃ,お茶,N5,
,,luggage,にもつ,荷物,N5,
,,to return something,かえす,返す,N5,
,,to take off clothes,ぬぐ,脱ぐ,N5,
,,corridor,ろうか,廊下,N5,
,,pencil,えんぴつ,鉛筆,N5,
,,Park,こうえん,公園,N5,
,,Five,ご,五,N5,
,,"six days, sixth day of the month",むいか,六日,N5,
,,somewhat,ちょっと,,N5,
,,movie,えいが,映画,N5,
,,(honorable) older sister,おねえさん,お姉さん,N5,
,,desk,つくえ,机,N5,
,,in that situation,それでは,,N5,
,,department store,デパート,,N5,
,,picture,え,絵,N5,
,,warm,あたたかい,暖かい,N5,
,,butter,バター,,N5,
,,to tie,しめる,締める,N5,
,,"rest,holiday",やすみ,休み,N5,
,,sweet,あまい,甘い,N5,
,,kitchen,だいどころ,台所,N5,
,,many,おおい,多い,N5,
,,"to become cloudy, to become dim",くもる,曇る,N5,
,,half minute,はんぶん,半分,N5,
,,bookshelves,ほんだな,本棚,N5,
,,five,いつつ,五つ,N5,
,,unpleasant,まずい,,N5,
,,"to be,to have (used for inanimate objects)",ある,,N5,
,,new,あたらしい,新しい,N5,
,,"how many?,how old?",いくつ,,N5,
,,Magazine,ざっし,雑誌,N5,
,,you,あなた,,N5,
,,number,ばんごう,番号,N5,
,,Thousand,せん,千,N5,
,,last night,ゆうべ,昨夜,N5,
,,"nine days, ninth day",ここのか,九日,N5,
,,animal,どうぶつ,動物,N5,
,,"coat, tennis court",コート,,N5,
,,to do,する,,N5,
,,(humble) siblings,きょうだい,兄弟,N5,
,,North,きた,北,N5,
,,problem,もんだい,問題,N5,
,,bed,ベッド,,N5,
,,weak,よわい,弱い,N5,
,,"best, first",いちばん,,N5,
,,to be understood,わかる,分かる,N5,
,,to live in,すむ,住む,N5,
,,Job,しごと,仕事,N5,
,,(humble) older brother,あに,兄,N5,
,,Heavy,おもい,重い,N5,
,,boring,つまらない,,N5,
,,next month,らいげつ,来月,N5,
,,that,それ,,N5,
,,"sweets, candy",おかし,お菓子,N5,
,,to use,つかう,使う,N5,
,,one,いち,一,N5,
,,um...,あの,,N5,
,,"round,circular",まるい,丸い/円い,N5,
,,dangerous,あぶない,危ない,N5,
,,"mouth, opening",くち,口,N5,
,,to answer,こたえる,答える,N5,
,,fountain pen,まんねんひつ,万年筆,N5,
,,area,へん,辺,N5,
,,this year,ことし,今年,N5,
,,"ten days,the tenth day",とおか,十日,N5,
,,a glass,コップ,,N5,
,,every week,まいしゅう,毎週,N5,
,,red,あか,赤,N5,
,,many,たくさん,,N5,
,,"plate, dish",おさら,お皿,N5,
,,great number of people,おおぜい,大勢,N5,
,,"animal noise. to chirp, roar or croak etc.",なく,鳴く,N5,
,,to die,しぬ,死ぬ,N5,
,,first of the month,いちにち,一日,N5,
,,last month,せんげつ,先月,N5,
,,police box,こうばん,交番,N5,
,,calendar,カレンダー,,N5,
,,for the first time,はじめて,初めて,N5,
,,mountain,やま,山,N5,
,,"car, vehicle",くるま,車,N5,
,,post,ポスト,,N5,
,,"to smoke, to suck",すう,吸う,N5,
,,illness,びょうき,病気,N5,
,,boxed lunch,おべんとう,お弁当,N5,
,,"to hear, to listen to, to ask",きく,聞く,N5,
,,pocket,ポケット,,N5,
,,Seven,しち / なな,七,N5,
,,right side,みぎ,右,N5,
,,younger brother,おとうと,弟,N5,
,,tooth,は,歯,N5,
,,probably,たぶん,,N5,
,,"straight ahead,direct",まっすぐ,,N5,
,,aeroplane,ひこうき,飛行機,N5,
,,south,みなみ,南,N5,
,,how much?,いくら,,N5,
,,Please,ください,,N5,
,,to go,いく,行く,N5,
,,River,かわ,川/河,N5,
,,"thin,weak",うすい,薄い,N5,
,,to climb,のぼる,登る,N5,
,,"splendid, enough",けっこう,結構,N5,
,,Classroom,きょうしつ,教室,N5,
,,little,ちいさい,小さい,N5,
,,Dictionary,じしょ,辞書,N5,
,,Child,こども,子供,N5,
,,"tobacco,cigarettes",たばこ,,N5,
,,Company,かいしゃ,会社,N5,
,,to be sunny,はれる,晴れる,N5,
,,meat,にく,肉,N5,
,,Dirty,きたない,汚い,N5,
,,to forget,わすれる,忘れる,N5,
,,difficult,むずかしい,難しい,N5,
,,to pull,ひく,引く,N5,
,,Outside,そと,外,N5,
,,both parents,りょうしん,両親,N5,
,,"height, stature",せ,背,N5,
,,to work for someone,つとめる,勤める,N5,
,,clothes,ふく,服,N5,
,,"twenty days,twentieth",はつか,二十日,N5,
,,Cold,さむい,寒い,N5,
,,Dictionary,じびき,字引,N5,
,,rain,あめ,雨,N5,
,,evening meal,ばんごはん,晩御飯,N5,
,,to speak,はなす,話す,N5,
,,bath,ふろ,,N5,
,,Pupil,せいと,生徒,N5,
,,snow,ゆき,雪,N5,
,,"uncle, middle aged gentleman",おじさん,伯父/叔父,N5,
,,Socks,くつした,靴下,N5,
,,to study,べんきょうする,勉強,N5,
,,travel,りょこう,旅行,N5,
,,Instantly,すぐに,,N5,
,,"to line up,to set up",ならべる,並べる,N5,
,,Family,かぞく,家族,N5,
,,next door to,となり,隣,N5,
,,Economy,せっけん,,N5,
,,to come to a halt,とまる,止まる,N5,
,,"useful, convenient",べんり,便利,N5,
,,refrigerator,れいぞうこ,冷蔵庫,N5,
,,over there,むこう,向こう,N5,
,,over there,そちら,,N5,
,,Question,しつもん,質問,N5,
,,"easy, simple",やさしい,易しい,N5,
,,"to call out,to invite",よぶ,呼ぶ,N5,
,,quick,はやい,速い,N5,
,,bread,パン,,N5,
,,on top of,うえ,上,N5,
,,eight,やっつ,八つ,N5,
,,two,に,二,N5,
,,button,ボタン,,N5,
,,stomach,おなか,,N5,
,,assembly hall or meeting place,かいじょう,会場,N4,
,,shop assistant,てんいん,店員,N4,
,,earthquake,じしん,地震,N4,
,,"or,otherwise",または,,N4,
,,law,ほうりつ,法律,N4,
,,definite,たしか,確か,N4,
,,petrol,ガソリン,,N4,
,,"he,boyfriend",かれ,彼,N4,
,,(respectful) to do,なさる,,N4,
,,fire,ひ,火,N4,
,,never,けっして,決して,N4,
,,surely,きっと,,N4,
,,to take a lesson or test,うける,受ける,N4,
,,"to disappear,to get lost",なくなる,無くなる,N4,
,,computer,コンピュータ/コンピューター,,N4,
,,contact,れんらく,連絡,N4,
,,to make progress,すすむ,進む,N4,
,,to become empty,すく,,N4,
,,to be in time for,まにあう,間に合う,N4,
,,telegram,でんぽう,電報,N4,
,,inconvenience,ふべん,不便,N4,
,,(humble) son,むすこ,息子,N4,
,,graduation,そつぎょう,卒業,N4,
,,to injure,けが・する,,N4,
,,flavour,あじ,味,N4,
,,to be delighted,よろこぶ,喜ぶ,N4,
,,if,もし,,N4,
,,neighbourhood,きんじょ,近所,N4,
,,way of swimming,およぎかた,泳ぎ方,N4,
,,small bird,ことり,小鳥,N4,
,,to pay,はらう,払う,N4,
,,to open an event,ひらく,開く,N4,
,,one hundred million,おく,億,N4,
,,"(respectful) OK,all right",よろしい,,N4,
,,"usually, or a train that stops at every station",ふつう,普通,N4,
,,war,せんそう,戦争,N4,
,,to quarrel,けんか・する,,N4,
,,to experience,けいけん・する,経験,N4,
,,to be in sight,みえる,見える,N4,
,,"art,technology,skill",ぎじゅつ,技術,N4,
,,"substitute,alternate",かわり,代わり,N4,
,,extremely,ひじょうに,非常に,N4,
,,handbag,ハンドバッグ,,N4,
,,to continue,つづける,続ける,N4,
,,"speedy, express",きゅうこう,急行,N4,
,,"junior high school,middle school",ちゅうがっこう,中学校,N4,
,,jam,ジャム,,N4,
,,alcohol,アルコール,,N4,
,,reverse side,うら,裏,N4,
,,place where things are sold,うりば,売り場,N4,
,,to break-down,こしょう・する,故障,N4,
,,newspaper company,しんぶんしゃ,新聞社,N4,
,,rich man,かねもち/おかねもち,お・金持ち,N4,
,,to ask,たずねる,尋ねる,N4,
,,clearly,はっきり,,N4,
,,(humble) to do,いたす,致す,N4,
,,opportunity,きかい,機会,N4,
,,terrific,すごい,凄い,N4,
,,preparation,ようい,用意,N4,
,,it should be so,はず,,N4,
,,"match,game",しあい,試合,N4,
,,arm,うで,腕,N4,
,,enough,じゅうぶん,十分,N4,
,,location,ばしょ,場所,N4,
,,head of a section,ぶちょう,部長,N4,
,,the month after next,さらいげつ,さ来月,N4,
,,"olden days, former",むかし,昔,N4,
,,escalator,エスカレーター,,N4,
,,"knowing,acquaintance",ごぞんじ,ご存じ,N4,
,,"more than,this is all",いじょう,以上,N4,
,,kimono,きもの,着物,N4,
,,husband,おっと,夫,N4,
,,strange,へん,変,N4,
,,sandal,サンダル,,N4,
,,to throw or cast away,なげる,投げる,N4,
,,"to get dark,to come to an end",くれる,暮れる,N4,
,,correct,ただしい,正しい,N4,
,,weather forecast,てんきよほう,天気予報,N4,
,,"corner,nook",すみ,隅,N4,
,,bean paste,みそ,味噌,N4,
,,"spirit,mood",き,気,N4,
,,"study room,laboratory",けんきゅうしつ,研究室,N4,
,,salad,サラダ,,N4,
,,personal computer,パソコン,,N4,
,,deep,ふかい,深い,N4,
,,suit,スーツ,,N4,
,,"(respectful) to be,to come or to go",いらっしゃる,,N4,
,,to tease,いじめる,,N4,
,,without fail,ぜひ,,N4,
,,television or radio program,ばんぐみ,番組,N4,
,,education,きょういく,教育,N4,
,,to be surprised,びっくり・する,,N4,
,,moreover,それに,,N4,
,,journal,にっき,日記,N4,
,,"important,valuable,serious matter",だいじ,大事,N4,
,,"to slide,to slip",すべる,滑る,N4,
,,"to burn,to be roasted",やける,焼ける,N4,
,,"air,atmosphere",くうき,空気,N4,
,,to decorate,かざる,飾る,N4,
,,headmaster,こうちょう,校長,N4,
,,motorcycle,オートバイ,,N4,
,,extremely,もっとも,,N4,
,,star,ほし,星,N4,
,,to decide,きめる,決める,N4,
,,once,いちど,一度,N4,
,,grapes,ぶどう,,N4,
,,dictionary,じてん,辞典,N4,
,,serious,まじめ,,N4,
,,"meaning,reason",わけ,訳,N4,
,,"change from purchase, balance",おつり,,N4,
,,(respectful) to see,ごらんになる,,N4,
,,relief,あんしん,安心,N4,
,,western countries,せいよう,西洋,N4,
,,housewife,かない,家内,N4,
,,suitcase,スーツケース,,N4,
,,glad,うれしい,,N4,
,,middle,まんなか,真中,N4,
,,competition,きょうそう,競争,N4,
,,a smell,におい,,N4,
,,soft,やわらかい,柔らかい,N4,
,,reservation,よやく,予約,N4,
,,"now,next time",こんど,今度,N4,
,,everybody,みな,皆,N4,
,,"to boil, to grow hot,to get excited",わく,沸く,N4,
,,finger,ゆび,指,N4,
,,"finance,economy",けいざい,経済,N4,
,,to start to rain,ふりだす,降り出す,N4,
,,examination,しけん,試験,N4,
,,method,しかた,仕方,N4,
,,hard,かたい,堅/硬/固い,N4,
,,(polite) to eat,めしあがる,召し上がる,N4,
,,to wrap,つつむ,包む,N4,
,,"(humble) to be called,to say",もうす,申す,N4,
,,typhoon,たいふう,台風,N4,
,,(humble) daughter,むすめ,娘,N4,
,,sleepy,ねむい,眠い,N4,
,,use,よう,用,N4,
,,(humble) to look at,はいけん・する,拝見,N4,
,,comic,まんが,漫画,N4,
,,church,きょうかい,教会,N4,
,,Japanese hotel,りょかん,旅館,N4,
,,"tool,means",どうぐ,道具,N4,
,,to fall or drop,おちる,落る,N4,
,,temple,てら,寺,N4,
,,to fish,つる,釣る,N4,
,,toy,おもちゃ,,N4,
,,to broadcast,ほうそう・する,放送,N4,
,,at last,やっと,,N4,
,,pickpocket,すり,,N4,
,,to get off,おりる,下りる,N4,
,,to drop,おとす,落す,N4,
,,"finally, after all",とうとう,,N4,
,,to guide,あんない・する,案内,N4,
,,"calling on someone who is ill,enquiry",おみまい,お見舞い,N4,
,,moon,つき,,N4,
,,sandwich,サンドイッチ,,N4,
,,relationship,かんけい,関係,N4,
,,"certainly,necessarily",かならず,必ず,N4,
,,bell,ベル,,N4,
,,to receive,もらう,,N4,
,,fire,かじ,火事,N4,
,,"to think,to feel",おもう,思う,N4,
,,to transport,はこぶ,運ぶ,N4,
,,eraser,けしゴム,消しゴム,N4,
,,to report,つたえる,伝える,N4,
,,(honorable) your husband,ごしゅじん,御主人,N4,
,,grammar,ぶんぽう,文法,N4,
,,uncooked rice,こめ,米,N4,
,,"to fix,to repair",なおす,直す,N4,
,,"she,girlfriend",かのじょ,彼女,N4,
,,driver,うんてんしゅ,運転手,N4,
,,"to pick up,to gather",ひろう,拾う,N4,
,,to hospitalise,にゅういん・する,入院,N4,
,,"to be reserved, to be restrained",えんりょ・する,遠慮,N4,
,,building or bill,ビル,,N4,
,,geography,ちり,地理,N4,
,,to be helpful,やくにたつ,役に立つ,N4,
,,"to shake,to sway",ゆれる,揺れる,N4,
,,medical science,いがく,医学,N4,
,,sand,すな,砂,N4,
,,to go around,まわる,回る,N4,
,,Shinto shrine,じんじゃ,神社,N4,
,,however,けれど/けれども,,N4,
,,to prepare,したく・する,支度,N4,
,,extent,ほど,,N4,
,,to praise,ほめる,,N4,
,,(informal) You (used by men towards women),きみ,君,N4,
,,to discuss,そうだん・する,相談,N4,
,,industry,さんぎょう,産業,N4,
,,the manufacturing industry,こうぎょう,工業,N4,
,,special,とくべつ,特別,N4,
,,usually,たいてい,,N4,
,,embarrassed,はずかしい,恥ずかしい,N4,
,,rooftop,おくじょう,屋上,N4,
,,to import,ゆにゅう・する,輸入,N4,
,,throat,のど,,N4,
,,"to hang,to lower,to move back",さげる,下げる,N4,
,,after a long time,ひさしぶり,久しぶり,N4,
,,tonight,こんや,今夜,N4,
,,to move house or transfer,うつる,移る,N4,
,,soon,もうすぐ,,N4,
,,mostly,ほとんど,,N4,
,,to withdraw,ひきだす,引き出す,N4,
,,"to shine,to glitter",ひかる,光る,N4,
,,"politics,government",せいじ,政治,N4,
,,opposition,はんたい,反対,N4,
,,light,ひかり,光,N4,
,,to die,なくなる,亡くなる,N4,
,,injection,ちゅうしゃ,注射,N4,
,,"core,heart",こころ,心,N4,
,,gift,おくりもの,贈り物,N4,
,,for example,たとえば,例えば,N4,
,,generally,だいたい,大体,N4,
,,swimming,すいえい,水泳,N4,
,,harbour,みなと,港,N4,
,,accessory,アクセサリー,,N4,
,,strict,きびしい,厳しい,N4,
,,a particular,しかる,,N4,
,,research,けんきゅう,研究,N4,
,,leaf,は,葉,N4,
,,to touch,さわる,触る,N4,
,,art gallery,びじゅつかん,美術館,N4,
,,intention,つもり,,N4,
,,freedom,じゆう,自由,N4,
,,"rate,ratio,percentage",わりあい,割合,N4,
,,caution,ちゅうい,注意,N4,
,,"thing,matter",こと,,N4,
,,the front,おもて,表,N4,
,,to enjoy oneself,たのしむ,楽む,N4,
,,piano,ピアノ,,N4,
,,high school student,こうこうせい,高校生,N4,
,,to get dry,かわく,乾く,N4,
,,price,ねだん,,N4,
,,to mind,かまう,,N4,
,,to make a mistake,まちがえる,間違える,N4,
,,enthusiasm,ねっしん,,N4,
,,concert,コンサート,,N4,
,,"to boil,to heat",わかす,沸かす,N4,
,,occasionally,たまに,,N4,
,,fever,ねつ,熱,N4,
,,"so,therefore",だから,,N4,
,,suffix for familiar young male,くん,君,N4,
,,to copy or photograph,うつす,写す,N4,
,,"feeling,mood",きもち,気持ち,N4,
,,"society,public",しゃかい,社会,N4,
,,"to open, to become empty",あく,空く,N4,
,,that sort of,そんな,,N4,
,,promise,やくそく,約束,N4,
,,to lodge at,とまる,泊まる,N4,
,,now I understand,なるほど,,N4,
,,to consider,かんがえる,考える,N4,
,,Ah,あ,,N4,
,,a space,あいだ,間,N4,
,,novel,しょうせつ,小説,N4,
,,first of all,まず,,N4,
,,steak,ステーキ,,N4,
,,"gradually,soon",そろそろ,,N4,
,,to be decided,きまる,決る,N4,
,,like that,ああ,,N4,
,,seat,せき,席,N4,
,,as much as possible,なるべく,,N4,
,,such,あんな,,N4,
,,to hit,うつ,打つ,N4,
,,of course,もちろん,,N4,
,,cherry-blossom viewing,はなみ,花見,N4,
,,appearance,かっこう,,N4,
,,cotton,もめん,木綿,N4,
,,season,きせつ,季節,N4,
,,police,けいさつ,警察,N4,
